No.;Time;Source;Destination;Protocol;Info;Tiempo;Time-Slot;Desv.Est.;Valor Medio
517;0.079300;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,079300;0,0001;;
518;0.079399;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,079399;;;
519;0.079500;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,079500;0,000101;;
535;0.086200;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,086200;;;
537;0.086300;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,086300;0,0001;;
538;0.086400;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,086400;;;
539;0.086503;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,086503;0,000103;;
611;0.100799;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,100799;;;
612;0.100899;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,100899;0,0001;;
613;0.100999;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,100999;;;
614;0.101099;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,101099;0,0001;;
658;0.107999;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,107999;;;
659;0.108101;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,108101;0,000102;;
660;0.108199;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,108199;;;
661;0.108300;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,108300;0,000101;;
705;0.115200;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,115200;;;
706;0.115303;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,115303;0,000103;;
707;0.115400;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,115400;;;
708;0.115501;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,115501;0,000101;;
750;0.122199;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,122199;;;
752;0.122299;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,122299;0,0001;;
753;0.122400;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,122400;;;
754;0.122500;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,122500;0,0001;;
798;0.129599;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,129599;;;
799;0.129700;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,129700;0,000101;;
800;0.129799;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,129799;;;
801;0.129901;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,129901;0,000102;;
845;0.136799;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,136799;;;
846;0.136900;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,136900;0,000101;;
847;0.136999;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,136999;;;
848;0.137100;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,137100;0,000101;;
890;0.143599;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,143599;;;
891;0.143701;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,143701;0,000102;;
892;0.143799;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,143799;;;
894;0.143899;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,143899;0,0001;;
936;0.150599;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,150599;;;
937;0.150699;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,150699;0,0001;;
938;0.150799;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,150799;;;
939;0.150899;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,150899;0,0001;;
980;0.157399;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,157399;;;
982;0.157500;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,157500;0,000101;;
983;0.157599;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,157599;;;
984;0.157699;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,157699;0,0001;;
1028;0.164799;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,164799;;;
1029;0.164899;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,164899;0,0001;;
1030;0.164999;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,164999;;;
1031;0.165100;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,165100;0,000101;;
1075;0.171999;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,171999;;;
1076;0.172101;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,172101;0,000102;;
1077;0.172199;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,172199;;;
1078;0.172300;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,172300;0,000101;;
1121;0.178999;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,178999;;;
1122;0.179099;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,179099;0,0001;;
1123;0.179199;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,179199;;;
1124;0.179301;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,179301;0,000102;;
1168;0.186199;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,186199;;;
1169;0.186299;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,186299;0,0001;;
1170;0.186399;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,186399;;;
1171;0.186499;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,186499;0,0001;;
1213;0.193199;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,193199;;;
1215;0.193300;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,193300;0,000101;;
1216;0.193399;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,193399;;;
1217;0.193501;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,193501;0,000102;;
1261;0.200599;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,200599;;;
1262;0.200701;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,200701;0,000102;;
1263;0.200799;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,200799;;;
1264;0.200899;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,200899;0,0001;;
1308;0.207799;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,207799;;;
1309;0.207899;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,207899;0,0001;;
1310;0.208000;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,208000;;;
1311;0.208100;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,208100;0,0001;;
1354;0.214799;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,214799;;;
1355;0.214899;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,214899;0,0001;;
1356;0.214999;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,214999;;;
1358;0.215100;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,215100;0,000101;;
1399;0.221599;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,221599;;;
1400;0.221700;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,221700;0,000101;;
1401;0.221799;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,221799;;;
1402;0.221902;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,221902;0,000103;;
1444;0.228599;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,228599;;;
1446;0.228700;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,228700;0,000101;;
1447;0.228799;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,228799;;;
1448;0.228899;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,228899;0,0001;;
1492;0.235999;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,235999;;;
1493;0.236099;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,236099;0,0001;;
1494;0.236199;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,236199;;;
1495;0.236299;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,236299;0,0001;;
1537;0.242799;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,242799;;;
1538;0.242899;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,242899;0,0001;;
1539;0.242999;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,242999;;;
1540;0.243099;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,243099;0,0001;;
1584;0.249999;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,249999;;;
1585;0.250100;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,250100;0,000101;;
1586;0.250199;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,250199;;;
1587;0.250300;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,250300;0,000101;;
1630;0.256999;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,256999;;;
1631;0.257102;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,257102;0,000103;;
1632;0.257199;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,257199;;;
1633;0.257299;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,257299;0,0001;;
